,job_title,company_name,location,hiring_status,date,seniority_level,job_function,employment_type,industry,salary_min,salary_max,company_size,applicants_count,experience_required_years
19033,Product Manager,Volt Information Sciences,"Merseyside, England, United Kingdom",Actively Hiring,2023-04-13,Not Applicable,Product Management,Full-time,"Technology, Information and Internet",87453.0,120066.0,,343.0,0.0
19034,"
            
        Agency Business Manager
      
          ","
            Aspire Erp Systems
          ","
            Bengaluru, Karnataka, India
          ","
         Be an early applicant
      ",2023-04-13,"
            Associate
          ","
            Sales and Business Development
          ","
          Full-time
        ","
          Financial Services
          ",58594.0,101204.0,3066.0,483.0,4.0
19035,Entry level,Money,"New York, NY",Be an early applicant,2023-03-28,,"Marketing, Public Relations, and Writing/Editing",Full-time,"Technology, Information and Internet",,176774.0,1607.0,40.0,
19036,Full-Stack Lead Developer (w/m),JobCourier,"Zurich, Zurich, Switzerland",Be an early applicant,2023-03-28,Entry level,Engineering and Information Technology,Full-time,Manufacturing,182124.0,229108.0,1784.0,,
19037,Senior Content Writer,Headout,"Bengaluru, Karnataka, India",Actively Hiring,2023-04-17,Mid-Senior level,"Marketing, Public Relations, and Writing/Editing",Full-time,"Technology, Information and Internet",186746.0,233229.0,4266.0,413.0,4.0
19038,Administrative Assistant,Ryan Fireprotection,"Noblesville, IN",Be an early applicant,2023-02-26,Entry level,Administrative,Contract,Information Technology & Services,,83688.0,4707.0,245.0,9.0
19039,Graphic Designer,Madison Design,Cincinnati Metropolitan Area,"Actively Hiring
           +8�benefits",2023-03-13,Full-time,,,,56386.0,97358.0,832.0,215.0,8.0
19040,Senior Data Scientist,Coherus BioSciences,"Redwood City, CA",Be an early applicant,2023-02-21,Mid-Senior level,Engineering and Information Technology,Full-time,"Technology, Information and Internet",,116599.0,4743.0,,9.0
19041,Copy writer,MediaMarkt Nederland,"Rotterdam, South Holland, Netherlands",Actively Hiring,2023-03-16,Entry level,"Marketing, Public Relations, and Writing/Editing",Full-time,Retail,,51255.0,1499.0,,11.0
19042,PT Virtual Administrative Assistant - Remote | WFH,Get.It Recruit - Administrative,"Granger, IN",Actively Hiring,2023-04-06,Entry level,Administrative,Full-time,Hospitals and Health Care,155804.0,167460.0,1274.0,431.0,10.0
19043,"
            
        Fullstack Engineer - SRE
      
          ","
            Upflowy
          ","
            Sydney, New South Wales, Australia
          ","
         Be an early applicant
      ",2023-02-18,"
            Not Applicable
          ","
            Engineering
          ","
          Full-time
        ","
          Technology, Information and Internet
          ",151005.0,170764.0,2162.0,,11.0
19044,"
            
        Software Developer
      
          ","
            Techvaria Solutions Pvt Ltd
          ","
            Bengaluru, Karnataka, India
          ","
         Be an early applicant
      ",2023-03-18,"
            Entry level
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          Blockchain Services
          ",180370.0,192470.0,1130.0,14.0,
19045,"
            
        Data Scientist - Associate
      
          ","
            JPMorgan Chase & Co.
          ","
            Mumbai, Maharashtra, India
          ","
         Actively Hiring
      ",2023-03-07,"
            Mid-Senior level
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          Technology, Information and Internet
          ",,178462.0,3298.0,196.0,5.0
19046,UI Test Engineer,IBM,"Hyderabad, Telangana, India",Actively Hiring,2023-04-13,Not Applicable,Information Technology,Full-time,Computer Hardware Manufacturing,83641.0,132260.0,1520.0,367.0,8.0
19047,Copywriter [Saas Platform],LeadSquared,"Bengaluru East, Karnataka, India",Be an early applicant,2023-04-05,Entry level,"Marketing, Public Relations, and Writing/Editing",Full-time,Software Development,185277.0,190770.0,135.0,268.0,11.0
19048,"
            
        Product Development Engineer
      
          ","
            Blackbook Recruitment
          ","
            Sydney, New South Wales, Australia
          ","
         Actively Hiring
      ",2023-03-03,"
            Mid-Senior level
          ","
            Manufacturing, Quality Assurance, and Product Management
          ","
          Full-time
        ","
          Food and Beverage Services, Food and Beverage Manufacturing, and Manufacturing
          ",164192.0,199441.0,2753.0,5.0,11.0
19049,General Manager,Boparan Restaurant Group,"London, England, United Kingdom",Be an early applicant,2023-04-19,Executive,Business Development and Sales,Full-time,Public Relations and Communications Services,196218.0,,4449.0,458.0,4.0
19050,"LEAD DATA SCIENTIST - Dubai, UAE",Cobblestone Energy,"Louth, New South Wales, Australia",Be an early applicant,2023-04-24,Mid-Senior level,Engineering and Information Technology,Part-time,Internet Publishing,,119743.0,4942.0,,4.0
19051,Office Manager,,"Melbourne, Victoria, Australia",Be an early applicant,2023-04-28,Mid-Senior level,Other and Health Care Provider,Full-time,"Government Relations Services, Government Administration, and Hospitals and Health Care",194728.0,221144.0,189.0,250.0,14.0
19052,"
            
        Azure Architect
      
          ","
            Luxoft
          ","
            Bengaluru, Karnataka, India
          ","
         Actively Hiring
      ",2023-03-22,"
            Mid-Senior level
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          IT Services and IT Consulting
          ",,158188.0,3965.0,183.0,13.0
19053,Content Writer Intern,Testbook,"Navi Mumbai, Maharashtra, India",Actively Hiring,2023-03-22,Entry level,"Marketing, Public Relations, and Writing/Editing",Full-time,Staffing and Recruiting,164425.0,203862.0,125.0,33.0,6.0
19054,Full Stack Software Engineer,IBM,"Kochi, Kerala, India",Be an early applicant,2023-04-08,Not Applicable,Other,Full-time,Computer Hardware Manufacturing,90357.0,122463.0,2828.0,192.0,8.0
19055,"
            
        Technical Product Owner (Salesforce)
      
          ","
            Texas Capital Bank
          ","
            Dallas, TX
          ","
         Be an early applicant
      ",2023-03-24,"
            Director
          ","
            Product Management and Marketing
          ","
          Full-time
        ","
          Banking
          ",95105.0,113435.0,2289.0,18.0,7.0
19056,"
            
        Graduate Data Analyst
      
          ","
            Atkins
          ","
            Bengaluru, Karnataka, India
          ","
         Actively Hiring
      ",2023-02-02,"
            Entry level
          ","
            Information Technology
          ","
          Full-time
        ",,133786.0,150493.0,2209.0,,10.0
19057,Senior Analyst - Business Insights.,InMobi,"Bengaluru, Karnataka, India",Actively Hiring,2023-04-04,Not Applicable,"Research, Analyst, and Information Technology",Full-time,IT Services and IT Consulting and Advertising Services,26314.0,38043.0,1729.0,363.0,
19058,DevOps Engineer,InterviewDesk,"Chennai, Tamil Nadu, India",Be an early applicant,2023-02-23,Mid-Senior level,Engineering and Information Technology,Full-time,"Technology, Information and Internet",124508.0,152846.0,2194.0,344.0,2.0
19059,Admin Assistant,Stellar Professionals,"Indianapolis, IN",Be an early applicant,2023-01-27,Entry level,Administrative,Full-time,Advertising Services,137617.0,173872.0,,,8.0
19060,"Researcher (Social Research), Hopkins Van Mil",Guardian Jobs,"London, England, United Kingdom",Be an early applicant,2023-04-25,Mid-Senior level,"Research, Analyst, and Information Technology",Full-time,"Advertising Services, Software Development, and Technology, Information and Internet",138984.0,187661.0,4451.0,303.0,3.0
19061,Digital Content Writer,Green Light Worldwide,"Melbourne, Victoria, Australia",Actively Hiring,2023-04-15,Mid-Senior level,Advertising,Full-time,Staffing and Recruiting,147416.0,176437.0,1087.0,123.0,2.0
19062,Senior Data Scientist,Recruiting from Scratch,"Menlo Park, CA",Be an early applicant,2023-02-28,Mid-Senior level,Engineering and Information Technology,Full-time,Staffing and Recruiting,44124.0,80060.0,1633.0,39.0,
19063,"
            
        Python Developer (Django) Mid-Level
      
          ","
            Micromine
          ","
            Perth, Western Australia, Australia
          ","
         Actively Hiring
      ",2023-03-03,"
            Mid-Senior level
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          IT Services and IT Consulting
          ",106359.0,146061.0,2075.0,246.0,
19064,React Native Developer,Density,"Bengaluru, Karnataka, India",Actively Hiring,2023-04-11,Entry level,Engineering and Information Technology,Full-time,"Banking, Financial Services, and Accounting",43704.0,88378.0,2624.0,,1.0
19065,"
            
        Python Developer
      
          ","
            Peppermint Robotics
          ","
            Pune, Maharashtra, India
          ",Actively Hiring,2023-02-02,"
            Mid-Senior level
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          Automation Machinery Manufacturing
          ",51871.0,87697.0,3685.0,235.0,6.0
19066,Senior Content Writer,Inkcre Media,"Mumbai, Maharashtra, India",Be an early applicant,2023-02-02,Entry level,"Marketing, Public Relations, and Writing/Editing",Full-time,Education Administration Programs,133369.0,138433.0,3040.0,,2.0
19067,Automation Engineer,IBM,"Kochi, Kerala, India",Actively Hiring,2023-04-07,Not Applicable,Information Technology,Full-time,Computer Hardware Manufacturing,170212.0,212558.0,3087.0,190.0,14.0
19068,Senior Data Scientist,Recruiting from Scratch,"Mesa, CA",Be an early applicant,2023-01-18,Mid-Senior level,Engineering and Information Technology,Full-time,Staffing and Recruiting,130073.0,157864.0,2646.0,465.0,0.0
19069,Managing Director - Independent Hospitality Group,Jubilee Hospitality,"Birmingham, England, United Kingdom",Be an early applicant,2023-04-07,Executive,Management and Manufacturing,Full-time,Advertising Services,,177659.0,2091.0,429.0,3.0
19070,Intermediate Software Engineer,Oritain,"London, England, United Kingdom",Be an early applicant,2023-04-28,Mid-Senior level,Information Technology,Full-time,"Technology, Information and Internet",100145.0,134278.0,1221.0,38.0,8.0
19071,Python Developer,Hunter&Talent,"Sydney, New South Wales, Australia",Be an early applicant,2023-03-30,Entry level,Engineering and Information Technology,Contract,Staffing and Recruiting,195930.0,,2390.0,109.0,11.0
19072,Product Manager,AeroCloud,"London, England, United Kingdom",Be an early applicant,2023-02-19,Mid-Senior level,Product Management,Full-time,"Technology, Information and Internet",112862.0,122753.0,3081.0,57.0,8.0
